"profile","Park","location","shoreline_profile","WCEHA","conflict"
1,"Haynisisoos Park, North Beach","Haynisisoos Park, North Beach","Accreted","Accreted",NA
2,"Santiago, North Beach","Santiago, North Beach","Accreted","Accreted",NA
3,"L443, North Beach","L443, North Beach","Accreted","Accreted",NA
4,"B1, North Beach","B1, North Beach","Accreted","Accreted",NA
5,"A1.5, North Beach","A1.5, North Beach","Accreted","Accreted",NA
6,"Moclips, North Beach","Moclips, North Beach","Accreted","Accreted",NA
7,"Pacific Beach, North Beach","Pacific Beach, North Beach","Accreted","Accreted",NA
8,"Roosevelt Beach Rd OBA, North Beach","Roosevelt Beach Rd OBA, North Beach","Accreted","Accreted",NA
9,"Griffiths-Priday State Park, North Beach","Griffiths-Priday State Park, North Beach","Accreted","Accreted",NA
10,"Ocean City OBA, North Beach","Ocean City OBA, North Beach","Accreted","Accreted",NA
11,"Ocean Shores SR 115 OBA, North Beach","Ocean Shores SR 115 OBA, North Beach","Accreted","Accreted",NA
12,"Ocean Shores Pacific Blvd OBA, North Beach","Ocean Shores Pacific Blvd OBA, North Beach","Accreted","Accreted",NA
13,"Ocean Shores Butter Clam St OBA, North Beach","Ocean Shores Butter Clam St OBA, North Beach","Accreted","Accreted",NA
14,"Ocean Shores North Jetty North, North Beach","Ocean Shores North Jetty North, North Beach","Accreted","Erosion","flag"
15,"Ocean Shores North Jetty South, North Beach","Ocean Shores North Jetty South, North Beach","Accreted","Erosion","flag"
16,"Westport Light North, Grayland Plains","Westport Light North, Grayland Plains","Accreted","Erosion","flag"
17,"Westport Light South, Grayland Plains","Westport Light South, Grayland Plains","Accreted","Erosion","flag"
18,"Westport Ocean Ave OBA, Grayland Plains","Westport Ocean Ave OBA, Grayland Plains","Accreted","Accreted",NA
19,"Bonge Ave OBA, Grayland Plains","Bonge Ave OBA, Grayland Plains","Accreted","Accreted",NA
20,"Marine Drive OBA, Grayland Plains","Marine Drive OBA, Grayland Plains","Accreted","Accreted",NA
21,"Cranberry Beach Road OBA, Grayland Plains","Cranberry Beach Road OBA, Grayland Plains","Accreted","Accreted",NA
22,"Midway Beach Rd OBA, Grayland Plains","Midway Beach Rd OBA, Grayland Plains","Accreted","Accreted",NA
23,"Warrenton Cannery Rd OBA, Grayland Plains","Warrenton Cannery Rd OBA, Grayland Plains","Accreted","Accreted",NA
24,"North Cove, Grayland Plains","North Cove, Grayland Plains","Erosion","Erosion",NA
25,"Leadbetter Point North, Long Beach","Leadbetter Point North, Long Beach","Accreted","Accreted",NA
26,"Leadbetter Point South, Long Beach","Leadbetter Point South, Long Beach","Accreted","Erosion","flag"
27,"Leadbetter Point Bearberry Trail, Long Beach","Leadbetter Point Bearberry Trail, Long Beach","Accreted","Accreted",NA
28,"Leadbetter Point Hines, Long Beach","Leadbetter Point Hines, Long Beach","Accreted","Accreted",NA
29,"Leadbetter Point 357th Pl, Long Beach","Leadbetter Point 357th Pl, Long Beach","Accreted","Accreted",NA
30,"Oysterville Rd OBA, Long Beach","Oysterville Rd OBA, Long Beach","Accreted","Accreted",NA
31,"Oysterville Beach 311th St, Long Beach","Oysterville Beach 311th St, Long Beach","Accreted","Accreted",NA
32,"Oysterville Beach 295th St, Long Beach","Oysterville Beach 295th St, Long Beach","Accreted","Accreted",NA
33,"Pacific Pines, Long Beach","Pacific Pines, Long Beach","Accreted","Accreted",NA
34,"Klipsan Beach, Long Beach","Klipsan Beach, Long Beach","Accreted","Accreted",NA
35,"Loomis Lake State Park, Long Beach","Loomis Lake State Park, Long Beach","Accreted","Accreted",NA
36,"Oceanside 156th Pl, Long Beach","Oceanside 156th Pl, Long Beach","Accreted","Accreted",NA
37,"Oceanside 115th Ln, Long Beach","Oceanside 115th Ln, Long Beach","Accreted","Accreted",NA
38,"Long Beach 11th St, Long Beach","Long Beach 11th St, Long Beach","Accreted","Accreted",NA
39,"Holman, Long Beach","Holman, Long Beach","Accreted","Accreted",NA
40,"Oceanview South, Long Beach","Oceanview South, Long Beach","Accreted","Accreted",NA
41,"Cape Disappointment CANBY, Long Beach","Cape Disappointment CANBY, Long Beach","Erosion","Erosion",NA
42,"Clatsop Spit","Clatsop Spit","Erosion",NA,NA
43,"Peter Iredale Rd OBA","Peter Iredale Rd OBA","Erosion",NA,NA
44,"Delaura Beach Rd OBA","Delaura Beach Rd OBA","Accreted",NA,NA
45,"Slusher Lake Rd OBA","Slusher Lake Rd OBA","Accreted",NA,NA
46,"Del Rey Beach Rd OBA","Del Rey Beach Rd OBA","Accreted",NA,NA
47,"Seaside Beach","Seaside Beach","Accreted",NA,NA
48,"Quinault Beach, North Beach","Quinault Beach, North Beach","Accreted","Accreted",NA
49,"Chautauqua Resort, Long Beach","Chautauqua Resort, Long Beach","Accreted","Accreted",NA
50,"Seaview, Long Beach","Seaview, Long Beach","Erosion","Accreted","flag"
51,"Beard's Hollow Cape Disappointment, Long Beach","Beard's Hollow Cape Disappointment, Long Beach","Accreted","Erosion","flag"
52,"A Loop Cape Disappointment, Long Beach","A Loop Cape Disappointment, Long Beach","Erosion","Erosion",NA
53,"Benson Beach North Cape Disappointment, Long Beach","Benson Beach North Cape Disappointment, Long Beach","Erosion","Erosion",NA
54,"Benson Beach South Cape Disappointment, Long Beach","Benson Beach South Cape Disappointment, Long Beach","Erosion","Erosion",NA
